區域,機關/單位,服務時間及員額,服務內容,聯絡方式與窗口,備註,新增日期
永康區,財團法人八德文教基金會,"例假日、寒暑假及課餘時間(例如 週日上午9時到12時),員額視各梯 次活動服務學習需求訂定(詳情電 洽)","1.擔任助理服務學習員 2.活動前置及策劃、海報及道具製 作 3.營隊中擔任科技,撥放音樂及影 片 4.學習團體生活 5.文書處理、環境整理、布置",聯絡人:趙永繕老師 電話:0937090716,,2014/5/29
安南區,台南市正統鹿耳慈善會,寒暑假及週一至週五09:00-12:00- 13:30-16:30 週六日09:00-12:00-13:30-16:30 (每日各4人),1.扶助老弱行走 2.引導民眾了解環境 3.諮詢服務.協助環境打掃,聯絡人:方惠娟 電話:06-2570152,2017/5/15修改聯絡人,2014/5/29
安南區,中華民國林蕭專女士藝術文化協會,依場館活動檔期之需求公告於網頁 每週六08:30-11:30 需求6人,1.場館環境共同維護 2.書面資料整理建檔 3.活動舉辦時之引導及秩序維護 4.協助藝團隊後台場務工作,聯絡人:張怡婷 電話:06-2461368#112,,2014/6/17
安南區,學東里辦公處,星期一至星期五(寒暑假) 星期六、星期日(例假 日)09:00~12:00 10人14:00~17:00 10人           (人數視需求增 減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:黃南忠 電話:0988075365,,2014/6/17
將軍區,長沙里辦公處,例假日、寒暑假及課餘時間(服務 時間:早上8-12時 下午13-17時),1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人:陳啟瑜里長 電話:0911580909,依據將軍區公所國108年7月1日 所民字第1080456206號函調整,2014/6/17
東區,社團法人中華民國荒野保護協會台南 分會,"寒暑假、例假日、課餘時間,依網 站活動公告為主 http://sowtn.sow.org.tw/","參與並協助荒野發起之大型倡議活 動,共同傳達守護環境的理念,例 如: 1.地球日關燈一小時活動,由荒野 志工帶領國中生們協助現場各項事 務,如人員導引、場地整理與維護 等 2.參與海洋日淨灘活動,由荒野志 工帶領國中生們進行淨灘,整理海 洋廢棄物。",聯絡人:陳芃僖、黃德秀 電話:06-2607259,,2014/7/15
新化區,臺南市新化博愛關懷協會,寒暑假、例假日或課餘時間 名額不限,"1.協助社區照顧關懷據點及身心障 礙社區關懷站各項活動,如量身 高、體重、血壓、體脂肪等健康基 本資料登錄;家庭關懷訪視、獨居 老人中午送餐 2.協會館內服務:行政文書整理及 檔案分類、環境清潔、供餐廚房協 助(分裝餐盒、廚具清洗等)",聯絡人:卓翠麗 電話:(06)5902517轉603,,2014/7/15
北區,財團法人法鼓山佛教基金會,"員額需求,依各項活動暨課程需求 爲主. 服務時間:上午08:00 ~ 下午 05:00. 備註1:提早或延長時間,以不影響 學生日常生活爲主. 備註2:服務時間:寒暑假期、例假 日或課餘時間.","1. 大型法會、園遊會、聯合講座 等之活動協助. 2. 轄下所屬之辦公場所;環境維 護、文書處理等行政庶務. 3. 冬夏令寒暑兒童營隊,小隊輔及 香積教務義工等任務. 4. 各項兒童禪藝教室;讀經/繪畫/ 國樂/書法班等學藝義工.",聯絡人:陳瑞峯 電話:06-2206329,,2014/7/17
永康區,高雄榮民總醫院臺南分院,寒暑假(7-8月)週一至週五 08:00-17:00 (中午休息1小時) 1-12月之每週六08:00-12:00 寒暑假期間名額不拘 週六時段為3人,1.協助本院各科室文書、環境整 理及文件遞送 2.引導病患就診、健檢及填辦資 料 3.協助社區巡迴義診 4.協助各項活動報到、引導等,聯絡人:陳珮沄 電話:06-3125101轉3123,,2014/7/18
永康區,財團法人中華基督復興會總會,寒暑假、例假日或課餘時間週二至 週六13:30-17:00 員額每日10人,1.陪同教會的長者去關懷、探訪老 人家 2.環境清潔,聯絡人:邱震 連絡電話:06-3130733,,2014/7/25
南區,社團法人中華慈化亭同理心協會,每週六15:00-:18:00 及每年12月課餘時間舉行之大台南 甘露佈施各需員額數名,1.整理書籍 2.環境整潔 3.每年12月課餘時間舉行之00大台 南甘露佈施,聯絡人:薛乃馨 電  話:06-2655378,,2014/7/25
安南區,財團法人臺南市私立健生障礙照護中 心,1.星期六日活動支援:09:00- 10:30/14:00-16:30 2.寒暑假、例假日或課餘時間之星 期一至日:09:00-11:00/14:30- 16:30 3.名額:每個時段約2-3人 4.中心內外活動支援另行通知時間 5.能說台語者尤佳,1.陪伴身心障礙者聊天、散步、認 知遊戲訓練。 2.中心內外活動辦理支援協助 3.環境佈置協助 4.其他交辦事項,聯絡人:許雅婷社工、王靜茹社 工 電  話:06-2454515,,2014/7/28
東區,台南市立醫院,寒暑假週一至週五8:30-11:30 14:00-17:00,1.協助文書資料處理 2.影印文件 3.就醫方向指引 4.文書資料傳送,聯絡人:台南市立醫院社工課 陳又綸 電話:06-2609926分機21103,,2014/8/11
中西區,台灣自由社區關懷協會,週六及週日(電洽) 員額不限,協助兒童品格才藝輔導教學活動、 行政、音樂治療、社區學生營會活 動、社區環境整理、團康服務、與 理監事一同關心探訪社區長輩,聯絡人:陳韋達幹事 電話:06-2293563,,2014/8/20
北區,台南市跆拳道協會,"(一)寒暑假、例假日或課餘時間之 賽程賽會期間, (二)依本會會務活動需求申請服務",1.賽程賽會「服務學習」服務 2.協助會館環境清潔整理 3.協助文書整理活動規劃,聯絡人:蔡介溪 電話:06-2580501 0938580156,,2014/8/20
東區,社團法人台南市牙醫師公會,"寒暑假及例假日,依會務及活動之 需求申請人數。",1.協助通知文件整理 2.黏貼會員地址名條 3.假日活動協助簽到處 4.文書資料處理 5.環保分類整理,聯絡人:李麗英總幹事 電話:06-2154797,,2014/9/2
北區,中華民國圓夢傳愛關懷協會,"1.例假日、寒暑假及課餘時間。 2.配合本機構活動期間,09:00- 21:00間可排班。 3.員額不限(少數活動有名額限 制)。","1.NGO行政:訪客接待、文書處 理、檔案分類、書籍整理、環境整 理、臨時事項交辦等。 2.動保志工:熱愛動物、刻苦耐 勞。 3.愛心義賣:協助主持、接待、物 資整理。 4.愛心勸募:強化溝通能力,須主 動積極、抗壓性高。 5.活動支援:活動前海報、道具製 作、場地佈置,活動時秩序維護、 項目推廣、攝影協助,活動後場地 復原。","聯絡人:蔡佩娟; 電話:06-2235128; 傳真:06-2237089; 電子信箱: 580DLCA@gmail.com; 地址:台南市北區公園南路161 號6樓。 *580志工個人報名表: http://goo.gl/vhpAHS *580協會臉書粉絲團: http://goo.gl/SIdgRt *580志工網臉書社團: http://goo.gl/NzsOmm 580協會各項服務皆有長期需求 ,歡迎服務學習學生投入服務, 可享免費課程、場地、聚餐......",,2014/9/26
南區,竹溪里辦公處,例假日、寒暑假及課餘時間(服務 時間:早上8-12時 下午13-17時)5 人(人數視需求增減),1.里內環境打掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:王璟瑞 電話:0933355577,,2014/9/26
中西區,經濟部標準檢驗局臺南分局,"寒暑假期間週一至週五,預計15場 次,每場次約4人",協助至各賣場辦理安全商品宣導活 動,聯絡人:張小姐 電話:(06)2264101轉604,,2014/10/27
安平區 安南區,台江國家公園管理處,"黑琵季(每年10月至隔年4月)周末 上午09:00~12:00,下午13: 30~16:30。人數視活動需求增 減。","擔任台江小小解說員,為民眾提供 導覽解說服務。",聯絡人:林雯涓 電話:06-3910000分機504,,2014/10/27
東區,臺南市基督教家庭協談協會,"1.服務時間:寒暑假、例假日、平 日課餘時間 2.員額視實際需求而定,請電洽。",1.服務使用者關懷或陪伴服務。 2.電話問安。 3.協助行政及文書整理。,聯絡人:謝溫和主任 電話:06-2750511,,2014/10/27
全區,臺南市體育總會空手道委員會,"1.日期:實際依活動公告舉辦日期 為準,主要利用寒暑假及學校課餘 日,以避免影響學生受教權為原 則。 2.時間:上午8點至12點;下午1點 至5點,以確保學生足夠休息時 間。 3.人數:依活動需求而定,約為 10~20人。",1.協助委員會各項活動辦理(事前 準備、場地佈置、報到、紀錄、開 幕、閉幕頒獎事宜、場地整理) 2.活動文書資料整理 3.協助空手道運動之推廣,聯絡人:林建宏 電話:0936-430417 E-Mail: tnkt2020@gmail.com,人民團體,2014/10/29
永康區,永康區西橋社區發展協會,"寒暑假、例假日、課餘時間,員額 視實際需求而定,請電洽",1.活動辦理支援協助。 2.文書電腦繕打、資料建檔及整 理。 3.關懷訪視、電話問安、活動規 劃。 4.協助維護西橋公園。 5.協助整理活動中心。 6.協助環保志工清掃里轄。 7.社區資源回收工作。 8.協助辦理各項活動、場地佈置及 整理。 9.登革熱巡檢。,聯絡人:張中祺 電話:(06)2336898,,2014/11/7
佳里區,財團法人台灣基督長老教會台南佳里 教會,寒暑假、例假日或課餘時間或依台 灣基督長老教會 佳里教會 FB網站 公告為主 https://www.facebook.com/group s/350704228402883/ 員額: 視各梯次活動服務學習需求 訂定。,"1. 非營利性質的服務學習,幫助 學童在每周六、周日進行:讀經、 詩歌、兒童品格、才藝班。 2. 夏令營、冬令營、各類兒童營 隊以及園遊會活動之非營利性質的 服務學習。 3. 參與活動前置及策劃、海報及 道具製作。 4. 營隊中擔任:文書處理、環境 整理、布置...等等之服務學習。 5. 讀經、活動場地及周圍清潔打 掃。 6. 非營利性質的服務學習,幫助 國小兒童在晚間或假日的課業輔導 或陪讀。",聯絡人:呂佩璘傳道師、松睿淳 幹事 電話: (06)722-4879、722- 1806,,2014/11/17
安南區,溪心里里辦公處,寒暑假週一及週五8:00-12:00; 14:00-1700; 週六日06:30-09:30;14:00-17:00 10人(人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:溪心里里長劉澤民 電話:06-2567085、0933594382,,2014/12/1
東區,財團法人台南市私立母佑會社會福利 慈善基金會附設羅蘭青少年中心,寒、暑假週一至週五下午 1:00~6:00 週六、日辦理活動期間,1.環境清潔 2.圖書排整與整理 3.弱勢學童活動陪伴與作業指導 4.活動服務(EX:招待指引、照 相、海報繪製...等),聯絡人:江欣怡 電話:06-331-2870,,2014/12/10
歸仁區,長榮大學(圖書資訊處),寒假:週一至週五 9:00-12:00、13:30-16:30 暑假:週一至週四 9:00-12:00、13:30-16:30 每時段2-4人,1.換證、門禁控管及協助讀者入館 2.圖書排列及書架整理 3.期刊整理上架 4.視聽資料整理清潔 5.圖書編目加工、贈書清單處理 6.環境清潔打掃,聯絡人:圖資長室 蘇春梅小姐 電話:06-2785123轉1502,,2014/12/10
永康區,社團法人中華民國全國特殊教育學校 家長協會,"不定期例假日、寒暑假及課餘時間 ,員額視各場次服務學習需求訂定",1.教育部委辦特殊教育學校家長研 習活動協助 2.協助融合教育活動 3.社福機構關懷訪視及參與協會所 舉辦之各類慈善公益事務,聯絡人:林奇玄 電話:06-3124586或0928303141,,2014/12/18
東區,台南市佳楠愛心慈善會,寒暑假週一至週五13:30-16:30皆 可彈性  員額1-2名; 假日:8:00-17:00(視活動狀況而 定) 員額:視(每個活動需求)而定。,文書電腦繕打、資料建檔、整理捐 助衣物、協助辦理活動企劃與執 行、弱勢兒童手工藝教授,聯絡人:謝雅文 電話:06-2607938,,2014/12/25
中西區 東區 安平區 南區 北區 安南區,台南市 愛鄰關懷協會,"寒暑假例假日及課餘時間,所需員 額視各項活動而定","按報名參加的學生組成服務學習團 隊,由本會總幹事擔任總督導,每 兩名學生編成一組,每組有一位大 人擔任關懷輔導員,在關懷輔導員 陪同下一起進入社區服務,服務項 目包括:社區老人探訪、社區兒童 品格教育、社區家庭互動宣導 【社區老人】你畫我話、採訪撰 寫、家居清掃、代購採買 【社區家庭】親子兒少週報宣導、 家譜製作 【社區兒童】兒童基礎著色、數字 解碼遊戲",聯絡人:呂春鶯 電話:06-2258233,,2015/1/20
北區,大港里辦公處,例假日、寒暑假及課餘時間 09:00-12:00 14:00-17:00 限額20 人,1.里內環境清掃整理 2.登革熱巡檢 3.公園綠地整理 4.環保志工 5.文書資料整理,聯絡人:黃良賢 電話:0932866134,,2015/1/20
安南區,安南地政事務所,服務時間: 寒暑假週一至週五 上午08:00-12:00 下午1:30-17:30 (可分上午或下午時段服務) 員額:約10人,1.引導民眾抽取號碼牌 2.協助服務臺業務 3.登記申請書依序排列 4.辦公環境整理、打掃 5.協助各項文書遞送傳真影印 6.協助會議場所佈置收拾及整理 7.檔案室整理維護 8.協助機動性工作調配,聯絡人:謝伯育 電話:06-2559317,,2015/1/20
柳營區,台南市政府柳營水資源回收中心,寒暑假週一至週五08:00-12:00; 13:30-17:30 (限額25人),"1.協助辦理環境教育宣導,例如解 說員。 2.協助節能減碳及其他環保政策宣 導。 3.其他環境教育相關工作。 4.協助中心內環境整潔。",聯絡人:鄭亦涵 電話:06-6222253,,2015/1/20
新化區,新化區農會,"例假日、寒暑假及課餘時間,詳情 電洽",1.協助社區環境整理 2.協助產業活動現場佈置、環境整 理,聯絡人:推廣股陳彥伶 電話:06-5902400,,2015/1/20
新化區,臺南市新化社區營造協會,"1.老街區及武德殿、梁道故居:20 人(平日一人、假日兩人)寒暑假服 務時間:週二~週日09:00-17:00 學期間服務時間:週六、日09:00- 17:00(武德殿週一休館、梁道故居 採預約制) 2.如遇大型活動,將視狀況增添人 數和服務時間調整。","1.老街區及武德殿、梁道故居:維 持老街區及武德殿、梁道故居內外 部環境整潔、為遊客進行導覽解說 ,並提供所需在地旅遊資訊。 2.協會其他活動協助:協助場地維 護與活動協助。",聯絡人:廖千儀 電話:06-5903409,,2015/1/20
安南區,安慶里里辦公處,寒暑假每週一至週五8:00-12:00; 14:00-1700; 每週六日06:30-09:30;14:00- 17:00 10人(人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:安慶里里長蕭振隆 電話:06-2559812、0935702824,,2015/1/22
安南區,溪頂里里辦公處,寒暑假每週一至週五8:00-12:00; 14:00-1700; 每週六日06:30-09:30;14:00- 17:00 10人(人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:溪頂里里長蔡崇立 電話:06-2810907、0933397315,,2015/1/22
永康區,台南市西橋長壽會,"寒暑假、例假日或課餘時間,名額 不限 周六日09:00-1200 13:30-16:30",1.扶助老弱行走(由本會陪同派員 參與) 2.輔助辦理活動 3.協助環境打掃,聯絡人:吳輝豹 電話:06-2332020 0958636931,,2015/1/27
安南區,安西里里辦公處,寒暑假每週一至週五8:00-12:00; 14:00-1700; 每週六日06:30-09:30;14:00- 17:00 10人(人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:安西里里長劉昆河 電話:06-2475999、0933351877,,2015/1/27
東區 中西區 北區 南區 安南區 永康區 歸仁區 新營區 麻豆區,財團法人真耶穌教會台灣總會(東昇 教會、台南教會、開元教會、南門教 會、喜樹教會、和順教會、永康教 會、歸仁教會、新營教會、麻豆教 會),寒暑假、例假日或課餘時間(逾晚 間9時須家長接送) 員額:視各梯次活動服務學習需求 訂定,1非營利性質的服務學習。 2.環境整潔工作。 3.愛餐炊事助手、餐桌安排、清洗 餐具。 4.學童在平日晚間、週六進行詩歌 領唱、司琴、讀經、電器錄音設備 控制與管理、交通引導及車管等 等。 5.教會內外活動辦理支援協助。 6.扶助與關懷老弱者。 7.其他交辦事項。,1.東昇教會   陳中聖 教牧負責 人 電話:06-2684129 2.台南教會   汪明璋 教牧負責 人 電話:06-2217108 3.開元教會   牛建華 教牧負責 人 電話:06-2360343 4.南門教會   侯志道 教牧負責 人 電話:06-2616994 5.喜樹教會   林恩霖 教牧負責 人 電話:06-2629615 6.和順教會   廖豪中 教牧負責 人 電話:06-2464075 7.永康教會   李正達 教牧負責 人 電話:06-2312730,,2015/1/28
仁德區,中華醫事科大,"不定期例假日、寒暑假及課餘時間 ,員額視各場次服務學習需求訂定",志工培訓:1.活動場地布置2.協助 活動報到簽到服務3.維持場館秩序 及整潔4.活動後場館恢復及清潔。 淨灘活動:1.協助台南市環保局海 域淨灘活動2.協助活動簽到3.協助 整理活動後清潔,聯絡人:張旻潔小姐 電話:06-2674567*804,,2015/1/30
東區,財團法人台南市基督教會福音堂,寒暑假、例假日或課餘時間。 員額: 視各梯次活動服務學習需求 訂定。,"1.非營利性質的服務學習,幫助學 童在每周六、周日進行:讀經、詩 歌、兒童品格、才藝班。 2.非營利性質的服務學習,幫助國 小兒童在晚間或假日的課業輔導或 陪讀。 3.夏令營、冬令營、各類兒童營隊 以及園遊會活動之非營利性質的服 務學習。 4.參與活動前置及策劃、海報及道 具製作、活動場地及周圍清潔打 掃。 5.營隊中擔任:文書處理、環境整 理、佈置...等等之服務學習。 6.陪同教會的長者去關懷、探訪老",聯絡人:陳珠蘭 電話:06-2370108 傳真 :06-2099457,,2015/1/30
全區,社團法人台灣生態材料產業發展協會,"不定期舉辦,皆利用寒暑假、例假 日或課餘時間。員額也依照各活動 所需人數招募,詳請電洽","1.活動辦理支援協助,如社區服 務、大地淨化(淨山淨灘)等環境生 態保護等服務學習。 2.弱勢團體服務與關懷服務(老人 院、育幼院)、舉辦讀經教育服務 等支援工作。",聯絡人:張景煇 電話:0973-585789 E-Mail: 247441@cdh.tw,,2015/2/12
關廟區,社團法人臺南市佳美關懷協會,"1.服務時間:寒暑假、例假日、平 日課餘時間 2.員額視實際需求而定,請電洽。",1.社區關懷聚點服務-長者訪視與 電話關懷。 2.暑期快樂兒童營、老人健促活動 的協助。 3.協助行政及文書整理。,聯絡人:黃純純主任 電話:06-5952492,,2015/2/25
將軍區,忠嘉里辦公處,"例假日、寒暑假課餘時間(服務時 間:早上8-12時,下午13-17時)",1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人:黃聰惠里長 電話:0936371374,依據將軍區公所國108年7月1日 所民字第1080456206號函調整,2015/5/13
新營區,民生里里辦公處,"寒暑假每日(09:00-17:00),全年 週六日(09:00-17:00)(每日限20 人)",1.里內環境清潔整理 2.公園綠地整理 3.登革熱巡檢 4.環保志工 5.活動協助 6.文書資料整理,聯絡人:陳慶祥 電話:06-6326771,,2015/5/13
永康區 北區,社團法人台灣黃絲帶 愛網關懷協會,"暑假、課餘時間,詳請電洽","國中生(小志工團隊,有指導老師) (1) 營隊活動協助 (2) 才藝課程協助(僅協助) (3) 公益義賣活動助理-協助進行 義賣(僅協助) (4) 社區服務(有主責老師帶領)- 規劃於社區進行服務,至鄰近單位 進行服務例如老人院服務、社區打 掃、幼兒園關懷 (5) 以上活動不向參與者收取任何 費用",李玉惠 06-2515504、06- 2515630 黃馨儀 06-3027735、06- 3027991,"1.請先來電告知並確認服務時 間,始得服務2.不收取任何費用",2015/6/4
全區,臺南市鼓樂協會,"寒暑假、例假日、課餘時間,名額 視實際需求而定,請電洽","1.協助辦理活動或比賽前後,場地 佈置及整理 2.協助各團隊報到與比賽,演出順 序流程安排 3.協助推廣傳統藝術鼓樂 4.協助活動中,公益團隊擺設攤位 與宣傳","聯絡人:理事長 林韻慈 電話:0960-280917,06- 2697083",,2015/6/12
南區,財團法人慈愛動物福利基金會,例假日、寒暑假時間、課餘時間並 配合本協會活動時間辦理。員額以 實際活動需要。,"1.發送動物福利宣導DM 2.協助認領活動 3.協助路線指引,發送茶水 4.協助表格填寫 5.協助慈善募款活動",聯絡人:黃琇玉 電話:06-2204569,,2015/6/12
中西區,進學社區發展協會,寒暑假、例假日或課餘時間 、 週一至週五上午9:00-12:00下 午2:00-6:00、週六至週日視各 項服務學習活動時間所需。員額視 活動所需,1.協助社區環境清潔 2.協助各項活動之舉辦 3.拜訪社區獨居老人及弱勢家庭,聯絡人:蘇雅子       電話 0919-855755,,2015/6/18
仁德區,財團法人台南縣仁德鄉車路墘基督教 會/台灣Holocaust和平紀念館,"寒暑假、例假日:週二至週六早上 10:00-12:00、13:30-16:00及週日 10:00-12:00,或依車路墘基督教 會FB網站公告為主:(台南車路墘 基督教會 粉絲專頁) 員額: 視各梯次活動服務學習需求 訂定。","1.非營利性質的服務學習,幫助學 童在每周六、周日進行:詩歌領 唱、司琴、兒童才藝品格營。 2.夏令營、冬令營、各類兒童營會 與教外觀摩參觀、歷史巡禮、園遊 會、關心社區長輩協助等活動非營 利性服務學習。 3.參與活動設計、規劃、佈置、海 報設計、宣傳影片製作、團隊策 畫、活動接洽、道具製作支援。 4.活動中擔任文書處理、環境整 理、教會佈置、社區環境整理等學 習。 5.紀念館活動接待外賓,學習國際 禮儀、體驗外交,並引起學習第二",聯絡人:行政助理 馬楚喬 電話:06-266-2758,,2015/7/2
東區,台南市台窩灣樂讀協會,寒暑假期間週一至週日上午9時至 下午5時止、例假日上午9時至下午 5時止;服務學習員額10名。,(1) 臺南市定古蹟「原臺南州立農 事試驗場宿舍群丁種官舍」室內地 板清潔、廁所打掃及室內外玻璃清 潔。 (2) 臺南市定古蹟「原臺南州立農 事試驗場宿舍群丁種官舍」戶外庭 院打掃。 (3) 臺南市定古蹟「原臺南州立農 事試驗場宿舍群丁種官舍」戶外庭 院籬笆灑水及修剪。,聯絡人:張嘉芬 電話:0915433889,,2015/7/2
北區,社團法人台南市雙福全人關懷協會,1.寒暑假週二至週五14:00-18:00 2.寒暑假週六10:00-12:00 3.平日週二至週五16:30-18:30 4.平日週六10:00-12:00 (特殊活動時間則不在此限),1.協助清潔打掃環境 2.扶助社區者弱者就坐或起行 3.引導招呼來訪者 4.協助簡易資料鍵入 5.協助發放本會文宣資料,聯絡人:趙立琪總幹事 電話:06-2368401,"特殊活動如:社區音樂會、節日 餐會、社區義剪...等。 特殊活動時間,有時會隨著天氣 ...等因素安排在下午或傍晚。",2015/7/13
永康區,永康里辦公處,寒、暑假 星期一至星期五 08:00~12:00 13:00~17:00 (每時段30人),1.活動中心清潔(永康保生宫)。 2.鄰里公園環境清潔(公兒4-5公 園)。,聯絡人:林信全里長 電話:0933353885,,2015/7/13
東區,小東里辦公處,寒暑假週一至週六9:00-12:00、 13:00-17:00 平日9:00-12:00、13:00-17:00 每日2至5人,1.公園街道社區打掃 2.文書處理 3.里長(家長)陪同關懷訪視,"聯絡人:余天翔里長,電話: 0931-712-131",,2015/7/24
永康區,台灣聯合五旬節教會,1.週六、週日早上8:00-晚上5:00 2.寒暑假下午1:00-晚上8:00 3.員額視活動所需做人員增減,"1.協助教會管理種植花草樹木、資 源回收,綠化美化教會環境與社區 環境 2.協助教會辦理非營利性研討會、 訓練、講座,充實服務知能 3.視教會之需求與志願服務學習者 之專長互相配合,辦理服務工作, 發揮所學之長",聯絡人:江曉霜傳道 電話:0921686584,,2015/8/31
永康區,臺南市陸軍專科學校常備士官班校友 會,寒暑假週一及週五 13:00-15:00(每日各3人) 週六日08:00-12:00 (每日各5人),1.校友電話聯繫 2.會務(關懷個案)資料整理 3.關懷物資整理 4.公益活動工作人員,聯絡人:胡育芯 電話:0905784870,,2015/8/31
安平區,社團法人台南市佑明視障協進會,1. 服務時間:例假日、寒暑假或 課餘時間。 2. 員額:依本會會務、活動需求 申請服務人數。,"1.環境打掃整理。 2.行政庶務協助: (1)會務資料整理。 (2)會訊及視障相關刊物整理。 (3)愛心物資整理。 3.協助本會視障者課程: (1)學習並協助引導視障者行動、 用餐等。 (2)於課中協助講師及工作人員分 派之工作。 4.晚間或假日活動支援:如愛心義 賣、校園宣導活動等,不定期公益 活動之人力協助。 活動協助內容包括:簽到簽退作 業、物資募集整理、視障者引導、 活動攝影及其他機動事項。 5.佑明國樂團表演協助: (1)協助樂器及音響器材整理、搬 運。 (2)協助視障表演者上下台、動線 引導。",聯絡人:熊國婷 社工 電話:06-2976388,,2015/8/31
東區,臺南市推廣弱勢學童免費課程協會,"每週六下午1:30~5:30,每個上課 時段約10名",1.協助課程之進行、協助維持上課 秩序(具音樂基礎可擔任樂器助教) 2.協助處理學員問題與協會行政事 務、整理協會文件資料 3.輔導弱勢學生課業(以具有某一 專業課程優良學生優先) 4.整理教室與準備譜架等器材 5.具音樂基礎者協助檢查學生練琴 功課或是針對落後學生課後加強輔 導,聯絡人:鄭淑真 電話:0929-137-507,,2015/8/31
新營區,太南里辦公處,每月第二週(週六)、07:00-11: 00 40人(每次各40人),1.一里一日清消滅登革熱孳生源 2.里轄區內及社區環境綠美化 3.里轄區內環境衛生清潔打掃,聯絡人:李裕銘(里長) 電話:0988-665476,,2015/8/31
新營區,鐵線里辦公處,每月第二週(週六)、 第四週(週六) 08:00-12:00 40人(每次各40人,1.一里一日清消滅登革熱孳生源 2.里轄區內及社區環境綠美化 3.里轄區內環境衛生清潔打掃,聯絡人:沈志宸(里長) 電話:0933-624530,107年起里鄰調整,2015/8/31
東區,臺南市東區 東光里辦公處,寒暑假星期一至星期五 8:00-12:00 13:30-17:30 寒暑假星期六至星期日 8:00-12:00 14:00-18:00 平日星期六至星期日 8:00-12:00 14:00-18:00 每日2-10人,1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.文書資料整理,聯絡人:劉金幸里長 電話: 0919-118-030,2015/10/16、2023/4/2,
中西區,社團法人台南市女性權益促進會,寒暑假週一至週五13:30-17:30(每 日各2人),1.指導國小學童寒暑假作業 2.陪伴國小學童戶外活動 3.協助社區環境清潔,聯絡人:吳珮君 電話:06-2149632,,2015/11/18
全區,台灣國際創價學會,例假日、寒暑假時間、課餘時間並 配合本學會活動時間。員額以實際 活動需要。,"1.座談會&地區總會:廣邀社區里 民、親友參加,於鄰里間舉辦的座 談會及地區總會中,由學生負責擔 任帶動唱、及閱讀好書心得分享等 單元、並協助擔任司會或簽到、引 導等服務項目,以及會後場地恢復 整理。同學利用課餘時間準備的小 成果,能讓與會民眾感到青年的活 力、及無限希望;讓同學在此服務 的過程中學習到一個人的小小力量 ,也能為他人帶來無限的歡喜,進 而更能主動關懷社會及感受鄰近自 己身邊的人事物。 2.社區友好文化節:學生利用課餘 時間練習表演節目、或擔任活動中 的服務志工,讓同學更了解自己居 住的社區及散播熱情活力給更多的",聯絡人:蔡欣諭 電話:06-2814683,,2015/11/18
東區,台南市工商之友慈善協會,"寒暑假、例假日或課餘時間,每次 時間4小時,每次6人。",在資深人員引導、帶領之下探訪 中、低收入戶家庭與弱勢族群、協 助辦理愛心活動(賑米數量清點與 愛心物資發放),聯絡人:周柏霖 電話:0912030398、06-2904289,,2015/11/18
鹽水區,南榮科技大學 (圖書資訊處),平日:週六 9:00-12:00;13:30-16:30 寒暑假:週一至週五 9:00-12:00;13:30-16:30 每時段2-4人,1.圖書排列及書架整理 2.期刊整理上架 3.視聽資料整理清潔 4.環境清潔打掃,聯絡人:許小姐 電話:(06)6523111分機1611,,2015/11/18
東區,臺南市雅比斯生命關懷協會,"週六、日或寒、暑假期間,時間及 名額依據公益活動需求另行公告或 洽詢。","1.在老師指導下協助協會各項兒童 課程、訓練、研習、觀摩進行,參 與協會老師陪伴兒童、關懷等。 2.在工作人員指導下從事各項資料 整理及機動協助的服務。",聯絡人:梁祐欽 電話:06-2140357,,2015/11/25
東區 中西區 北區 南區 安平區 永康區 安南區 仁德區 歸仁區 善化區 新化區 佳里區 麻豆區 下營區,財團法人台灣省台南市教會聚會所,時間:寒暑假、例假日或課餘時 間。 員額:視各梯次活動服務學習需求 訂定。,"1.每週課餘時間協助國小學童品格 學習:歡唱詩歌、品格故事、聖經 閱讀課程等。 2.寒暑假兒童品格園、親子健康生 活園之隊輔職務:團康活動設計、 場地規劃佈置、兒童關懷輔導、交 通引導、美工設計等。 3.不定期假日戶外參訪活動,擔任 兒童輔導員。 4.環境整潔:協助整理打掃會所, 維護整齊清潔。",聯絡人:周慧雯 電話:(06)331-9191轉18。 聯絡地址:台南市東區裕和路 197號。 e-mail:tnnch@seed.net.tw,,2015/11/25
新營區,王公里辦公處,寒暑假、例假日或課餘時間。(每 次各40人),1.一里一日清登革熱孳生源清除。 2.里轄區內及社區環境綠美化。 3.里轄區內環境衛生清潔打掃。,聯絡人:蔡明勳(里長) 電話:0963502785    06- 6352469,,2015/11/25
